gene,log2FoldChange
TP53INP2,-10.42903903
KCTD10,-10.42893151
SOX5,-10.42592183
ARHGEF17,-10.42251066
CRYAB,-10.42072968
PRRT2,-10.41971529
PRKG1,-10.41387509
HMCN2,-10.40939166
NFIX,-10.4030886
DNAJC18,-10.37650117
ARID5B,-10.36367614
CNST,-10.34898781
GATA6,-10.33509078
KIAA1614,-10.32710634
FBLN5,-10.32157244
SRL,-10.3172144
CCSER2,-10.31564163
JAM2,-10.30786689
RP11-286H15.1,-10.29113994
RP11-93G5.1,-10.28501556
IGIP,-10.28440715
ZCWPW2,-10.28370442
KCNE4,-10.27980634
MEIS2,-10.27798309
CRTAP,-10.27270561
KLHL30-AS1,-10.26912509
TRAK2,-10.26649279
RP11-175K6.1,-10.26132176
DENND5A,-10.26063235
DUSP1,-10.25024484
NFASC,-10.24523485
SNRK,-10.23959197
STK40,-10.22386933
MYOT,-10.22186802
CUTC,-10.21518814
HSPB6,-10.20521056
SLC25A23,-10.20517095
TPPP,-10.19897282
ITGA1,-10.19063203
KCNA5,-10.1831205
DACT3,-10.18173935
AFF3,-10.18102577
RPS6KA2,-10.1808728
LRRC2,-10.18033359
VSTM4,-10.17720085
TNXB,-10.16666731
RP11-805I24.3,-10.16488863
PKIG,-10.16103335
PDZRN3,-10.15935875
JAZF1-AS1,-10.1518881
PARD3B,-10.15012161
UBR4,-10.12796849
AKAP13,-10.12365373
DCHS1,-10.11212677
GYG1,-10.108206
RNASE4,-10.10797131
TECPR2,-10.10593636
CELF2,-10.09921539
FAM172A,-10.0984986
TUBE1,-10.09561795
RP11-6N17.3,-10.0914797
ARHGAP10,-10.09083275
CD34,-10.08745728
RNF38,-10.07486091
TCEAL4,-10.0693351
PPP1R12C,-10.06898836
ZNF154,-10.06393911
EBF1,-10.05481256
BMPR1A,-10.05272179
HIF3A,-10.049798
CPEB1,-10.04130324
TARSL2,-10.03146376
RP11-867G23.10,-10.02564634
ELMSAN1,-10.02131191
MCAM,-10.0152585
MAGI2-AS3,-10.00816295
MAGI2,-9.999660753
CCT6P1,-9.991299249
RP11-358D17.2,-9.986709883
KCNIP4,-9.975471152
LINC01082,-9.973765683
SORCS1,-9.964812087
FAM13B,-9.963571429
POU6F1,-9.961350535
RANBP3L,-9.959494398
FAM189A2,-9.954099991
TMEM220,-9.947464384
CEP68,-9.931920521
ATP1B2,-9.923555162
NFIC,-9.922429481
REEP1,-9.921517313
ARID5A,-9.913582989
KCTD7,-9.907757197
DISP1,-9.904294776
FIGF,-9.899546034
RP11-359B12.2,-9.89194506
OSBPL10,-9.885779771
LINC00472,-9.880264721
INPP5A,-9.87461643
RABGAP1,-9.872834058
STARD13,-9.871986981
DIO3OS,-9.859000488
TPM2,-9.855817902
JAZF1,-9.850838828
RP11-243M5.5,-9.849821491
ITGA7,-9.841745926
NEK1,-9.835907843
RP11-553L6.5,-9.830822767
HSPG2,-9.82597363
DOK6,-9.8216941
GNAO1,-9.820412392
DTWD1,-9.817287705
ITGA10,-9.812790002
MECP2,-9.811532691
TTLL11,-9.809784434
PKD2,-9.798680592
ATP2B4,-9.796474262
LRCH1,-9.783313199
JPH2,-9.777604784
PDE1A,-9.776411635
XXbac-BPGBPG55C20.2,-9.774987433
AP000892.6,-9.769125842
ACOX2,-9.750042132
CNN1,-9.748751771
SERINC1,-9.742991839
PRCD,-9.737029546
RNF122,-9.730611977
JMY,-9.728337043
EGR3,-9.719159924
SLIT3,-9.714396316
FOS,-9.71141237
RP11-182J1.1,-9.704040949
DNM1P47,-9.69432149
MIR22HG,-9.680047077
KCNQ4,-9.679767958
CMTM5,-9.677881627
METTL24,-9.677036838
MAGOH2P,-9.674156437
FBXO32,-9.673389314
MAPT,-9.672010341
KIAA0513,-9.668454624
RP11-887P2.5,-9.665860534
GYS2,-9.663212021
NEK9,-9.66068291
DCUN1D4,-9.658181473
CPEB2,-9.653966925
PEX14,-9.652591292
EEF2K,-9.65167122
PELI2,-9.649943525
ACTA2,-9.642264026
CD302,-9.640001609
SLC8A1,-9.637888393
CARF,-9.626566822
RP11-102K13.5,-9.624102509
RP11-88I18.3,-9.622694789
SAMD4A,-9.620099487
RP11-1000B6.7,-9.618931969
LMO3,-9.613359785
LRRK2,-9.612463748
RP11-182J1.17,-9.608259019
OR8T1P,-9.606937597
FXYD6,-9.605847154
HSD17B6,-9.60511568
C20orf194,-9.605023936
CTD-2373N4.3,-9.604751634
KIAA0430,-9.602349958
EML1,-9.599433745
MYO9A,-9.598022953
ROCK1,-9.590642865
MIR497HG,-9.590366691
GOLGA8R,-9.584734277
RP11-448G15.3,-9.579313758
C3orf18,-9.574891078
TRIM3,-9.573258854
COX7A1,-9.568102613
NFIA,-9.554965594
PTH1R,-9.553086147
STON1-GTF2A1L,-9.551456364
RGS2,-9.551288322
CAMK2A,-9.548617496
ADH1B,-9.546177389
ZNF540,-9.54127482
ABI3BP,-9.5384045
DAAM2,-9.520470647
RP11-333I13.1,-9.516143505
SETD1B,-9.508356329
LINC01237,-9.49478513
NR3C2,-9.492045028
GOLGA8N,-9.491608342
RERG,-9.489189169
NR4A3,-9.476238828
FAT4,-9.475515571
ERCC6L2,-9.470891108
PPM1L,-9.468700455
RP11-180I4.4,-9.466248675
C11orf96,-9.463374263
SETD7,-9.463252731
RECK,-9.461819959
HCFC2,-9.456297977
AF001548.3,-9.455335055
CASP12,-9.452261285
GEM,-9.447113772
TSC22D3,-9.442901454
COL24A1,-9.438798757
PNRC1,-9.431126585
FAM168B,-9.428504348
RP11-890B15.3,-9.423950481
MRGPRF,-9.422340387
AC026150.8,-9.421441287
SRRM2,-9.420957856
RP11-442O1.3,-9.408439722
ADCY4,-9.408106766
KANK1,-9.407181774
AC145124.2,-9.387156326
CPEB3,-9.385480908
CLCN6,-9.378973925
C3orf70,-9.369034594
PYGB,-9.366640662
CPEB4,-9.361829639
IL6ST,-9.360867133
MPL,-9.354269811
ITGA5,-9.350816093
ITGA9,-9.349449475
ADCY5,-9.344715785
MYOC,-9.339468377
LAMC3,-9.336973118
CTC-296K1.4,-9.331245891
TBX20,-9.329183853
VPS13D,-9.328996043
PDGFRA,-9.321283808
AC093642.1,-9.32075639
SLAIN2,-9.317454429
GADD45B,-9.313721409
RP11-617F23.1,-9.312109043
ZFPM2,-9.309427074
RCAN1,-9.300743255
B3GAT2,-9.296171294
SNED1,-9.295468184
NECAB1,-9.293351406
DDR2,-9.290691385
GATA6-AS1,-9.27954446
INPP5B,-9.269941826
FAM19A2,-9.264350146
RP11-1334A24.5,-9.258581369
CLIC4,-9.24082711
NPY6R,-9.237069543
DIP2C,-9.233127573
APOLD1,-9.231025085
WBSCR17,-9.230518313
LRRFIP1,-9.225156564
SBSPON,-9.222675633
RP11-64B16.2,-9.220452494
C6orf3,-9.219085911
MEF2A,-9.216665235
RP11-535A5.1,-9.214577108
RP11-64C12.1,-9.208523132
MROH7-TTC4,-9.20064025
WNT2B,-9.192530027
PRKAB2,-9.192008317
ACTG2,-9.189922081
TGFBR3,-9.180527967
GPER1,-9.178763879
RP4-800J21.3,-9.173612107
GID4,-9.168240557
PIAS1,-9.167837209
NPTN-IT1,-9.16342065
FAM175A,-9.160455547
ADGRA2,-9.160056373
TTLL7,-9.159967378
F8,-9.157153362
RP11-182J1.14,-9.154085391
UBR1,-9.153680091
LATS2,-9.15214427
TPSG1,-9.150654474
GTF2A1L,-9.148967816
LINC00702,-9.140652865
MYOM2,-9.138429215
RP11-798M19.6,-9.137639848
BBS1,-9.130160204
ACTN2,-9.126350319
TSPAN18,-9.118610455
PHF1,-9.110306075
NFATC4,-9.106987141
OSBPL5,-9.105393307
FXYD1,-9.10004894
RP11-166D19.1,-9.09919639
KCNS2,-9.096269094
LRCH2,-9.090977087
FZD7,-9.082163933
IL11RA,-9.078018583
LINC01278,-9.077111871
CSPG4P11,-9.074728505
RAP2C-AS1,-9.073617201
ASB1,-9.072572216
ICA1L,-9.069741509
RYR2,-9.068641641
TMEM245,-9.067484432
RP11-681H18.2,-9.064119496
PDZRN4,-9.063074108
ABCC9,-9.058063225
AMOTL1,-9.055144559
NFIL3,-9.054429085
LRRN4CL,-9.045472811
SGCB,-9.042087356
ADGRG4,-9.034229818
PTCH2,-9.031638665
RP11-582J16.4,-9.025759801
EID1,-9.022545349
TMEM8B,-9.021593373
PCOLCE2,-9.020072217
CTB-36H16.2,-9.018964958
RP11-574K11.31,-9.01361935
AC009299.5,-9.006077572
RP11-967K21.1,-8.99895097
CYR61,-8.997577312
NR4A2,-8.995840988
PHKG1,-8.991174449
HAND2,-8.991079151
RBMS3,-8.983757562
RBFOX2,-8.981071143
ST6GALNAC6,-8.980785607
CH25H,-8.966169914
DLG2,-8.961675292
SSPN,-8.960431532
C2orf40,-8.953548032
MASP1,-8.952246843
PITPNM2,-8.952106204
PPP2R5A,-8.952019987
MTR,-8.949617435
MAPKBP1,-8.929716397
KLHL21,-8.925794894
MEF2C-AS1,-8.924401295
PLCB4,-8.919687984
CTC-296K1.3,-8.918892237
LDB3,-8.917263384
SHE,-8.917115639
CTC-203F4.2,-8.911675256
RGS22,-8.909464957
C16orf45,-8.90868178
MITF,-8.908383202
RUNX1T1,-8.903100158
KY,-8.887897728
HAAO,-8.876554463
CADM3-AS1,-8.87276533
RP11-753H16.3,-8.871687207
NXPH3,-8.862964236
SBDSP1,-8.860410044
RP11-380D23.1,-8.85492883
KLHL15,-8.852218013
JUN,-8.834418426
SIK2,-8.831985968
ATP1A2,-8.828084252
RP11-1000B6.3,-8.824423609
TCEAL3,-8.82210529
FOSB,-8.819088322
TAGLN,-8.816302527
RP11-690D19.3,-8.81476182
SGCA,-8.81435845
AC016995.3,-8.813906978
LYPLAL1-AS1,-8.812213878
FHL5,-8.807811839
GLTSCR1L,-8.807387229
WDFY3-AS2,-8.799722903
HINT3,-8.796303433
AC011239.2,-8.79453506
C1orf95,-8.792513237
GARNL3,-8.789614688
RP11-392A14.8,-8.778117267
APBB1,-8.777149527
RP11-736K20.4,-8.770347708
WEE1,-8.769925964
ATF3,-8.764264648
KMT2A,-8.763665168
TBX5,-8.761886192
HSPB7,-8.750803876
RP5-1198O20.4,-8.742784768
BVES,-8.738760815
TUB,-8.738186773
PLAC9,-8.735589333
CAP2,-8.73176681
ASPA,-8.731510218
ADCK3,-8.730426231
PPP1R3B,-8.728851398
SYNGAP1,-8.720635701
TSC22D1,-8.718308074
SLC9A9,-8.718228144
CYBRD1,-8.71686759
ADCY9,-8.716584506
DDX17,-8.71457154
A2M-AS1,-8.710780379
LRRC3B,-8.707975934
TRPC3,-8.702770655
KIAA1462,-8.698164731
B3GALT2,-8.695161353
PTGFR,-8.693404569
MAP3K3,-8.690753626
THSD4,-8.690706449
RP11-57H14.4,-8.690012779
PI16,-8.682580719
AC010226.4,-8.676887718
RP11-958N24.1,-8.673776831
RP11-415I12.2,-8.671854055
SCUBE1,-8.671118082
EMP1,-8.665868526
HCG22,-8.663288835
C16orf89,-8.660293417
CTC-463A16.1,-8.652741582
GPRASP2,-8.651411675
PDLIM7,-8.649752587
GPATCH2L,-8.646373561
KLF4,-8.642204692
TNFSF12,-8.638780586
HSPB8,-8.63804167
AGTR1,-8.633985662
FOXP2,-8.632106393
GPIHBP1,-8.631933192
ARHGAP1,-8.631577963
FGF2,-8.630472055
LCN10,-8.629803215
RGS5,-8.628537229
NBEA,-8.62024636
ADCYAP1R1,-8.619723361
STARD8,-8.619396036
CHIC1,-8.615587714
CKMT2,-8.611586913
KAT6B,-8.597658907
MRGPRF-AS1,-8.596284229
DYNC1I1,-8.59357548
RP11-968O1.5,-8.593251037
MROH8,-8.586813406
SETBP1,-8.586336568
SIRT1,-8.585581574
GH1,-8.578825593
RP11-561N12.5,-8.577886663
RP11-710C12.1,-8.573114666
MAPRE2,-8.571605895
MICAL1,-8.565365473
ITM2A,-8.563907219
SYNPO,-8.562494661
RP11-243M5.2,-8.560329396
EHBP1L1,-8.558125971
WFDC1,-8.556569765
NRIP2,-8.5565336
ZMYND11,-8.553878976
CASQ2,-8.553730218
AC079630.4,-8.553077536
SLC26A10,-8.543352176
RP11-635L1.2,-8.542700501
ELANE,-8.535734765
EIF4E3,-8.535000689
AF001548.6,-8.529974176
FAM46B,-8.527504259
TMX4,-8.525290193
LEPR,-8.516615885
FAM135B,-8.512077989
ERC1,-8.501545761
KIAA0232,-8.494923676
PTGES3L-AARSD1,-8.494048506
SPRY1,-8.492603253
AKAP12,-8.488324798
SSBP2,-8.487764282
SYPL2,-8.484121603
MYH3,-8.482578666
DYM,-8.481555948
PDLIM3,-8.466804095
RERGL,-8.465723062
PLP1,-8.464165241
CCDC36,-8.46233818
MMRN1,-8.459876315
ZEB2,-8.455925763
CHRM3,-8.455037782
ZZEF1,-8.454634247
PRDM8,-8.449562956
RP11-244F12.3,-8.447702925
PTPN21,-8.446314882
C1orf21,-8.442085826
CTD-2006M22.2,-8.439677019
BIN1,-8.436325158
PCDHGA5,-8.434336496
GABARAPL1,-8.433272123
CCDC39,-8.426787991
PEAK1,-8.424087984
ARID4A,-8.424012223
CSDE1,-8.423874581
TMEM132C,-8.421584038
TRIM23,-8.421397779
CDC37L1,-8.417705183
SMIM10,-8.412524865
MFAP4,-8.402795534
EPC1,-8.398033891
RASGRP2,-8.396836332
RP1-65J11.1,-8.393678993
A2M,-8.389503426
RUNDC3B,-8.387259832
PLN,-8.386765741
RP11-190C22.1,-8.386495008
AASS,-8.384241912
MUSK,-8.384221085
SH3BGRL,-8.382999168
EBF2,-8.378027835
TRPC4,-8.374177081
CTC-510F12.7,-8.373631261
ENTPD1,-8.370353084
TMEM100,-8.368037723
PGM5P4-AS1,-8.365594022
MTMR10,-8.358890439
ADAMTS4,-8.354443765
FILIP1L,-8.35140063
EPHA3,-8.351360608
PLA2G5,-8.350056472
MTFR1L,-8.349255743
CLDN5,-8.347606117
NCALD,-8.347336557
SLC25A12,-8.345562487
SIK3,-8.343925906
PPP1CB,-8.343302486
ST3GAL3,-8.342400613
PABPC1P4,-8.341621552
HBEGF,-8.340559564
LOH12CR2,-8.330716411
ADRA1D,-8.328618526
RPS6KA5,-8.321796402
H1FNT,-8.319766017
RP11-667F14.1,-8.312690245
ADHFE1,-8.312290124
ZC3H6,-8.30650528
ANXA6,-8.305785065
ARHGEF37,-8.303354434
RP11-74M13.4,-8.299315657
CNRIP1,-8.291517716
MEF2C,-8.288218104
PPM1K,-8.287830432
FAM160B1,-8.286521148
HSPA12A,-8.282156952
CTB-109A12.1,-8.280698642
SEPT7-AS1,-8.270441692
SLIT2,-8.26995139
RP11-616M22.12,-8.266676373
TEF,-8.26199832
MAFF,-8.25824514
MROH7,-8.256087286
DNM1P46,-8.252490892
NR2F1,-8.2506372
CRISPLD2,-8.24516148
KCND3,-8.244573285
THBS1,-8.244138886
AC007392.4,-8.243799873
ROR1,-8.243019414
KIAA0408,-8.242750657
CCL2,-8.227904771
RP11-175K6.2,-8.221879647
PGM5P2,-8.218224105
KB-1448A5.1,-8.213640562
RP11-713P17.3,-8.212746904
VAMP2,-8.20952563
RP11-248J23.6,-8.207940985
C22orf39,-8.207750447
ATF7,-8.20492637
LRFN5,-8.203693206
CTB-47B11.3,-8.201106017
RP11-589M4.4,-8.198759258
NPHP3,-8.192892536
ZNF483,-8.192596203
CTGF,-8.188272263
TSPYL1,-8.180075074
CAMKK1,-8.179745987
CCDC50,-8.176012896
TIPARP,-8.174917618
TCEAL7,-8.17403202
NUP210L,-8.172593947
AC004754.3,-8.167523003
TMEM252,-8.166266289
AP001189.4,-8.163470603
RGAG4,-8.153909738
SPG20,-8.153738555
SYNJ2BP,-8.151117161
EPHA7,-8.149721179
AARD,-8.144176793
PLSCR4,-8.14308981
NCAM1,-8.133784547
AF186192.5,-8.127359178
MPHOSPH8,-8.120197233
LINC00881,-8.118665899
ZRANB1,-8.117597775
PRX,-8.11482257
CTD-2054N24.2,-8.114471232
LINC01354,-8.111456066
GFRA1,-8.10705034
TMEM55A,-8.105409525
LINC01359,-8.102851449
ZFP2,-8.101636515
SBF2,-8.0929418
GPBAR1,-8.090613328
TAPT1,-8.088749699
NDNF,-8.08748169
UTRN,-8.087024704
LINC00304,-8.084139773
COL21A1,-8.080409693
PLEKHH2,-8.077823928
TNFAIP8L3,-8.072988648
ADRB3,-8.07104942
HABP4,-8.070668794
GTF2IRD2B,-8.070198618
LIFR,-8.069899635
ARHGAP24,-8.065049468
PDZD4,-8.060194333
RP13-216E22.4,-8.060181071
MID2,-8.059280019
PCDH18,-8.054305386
ACTC1,-8.051995925
TSHZ3,-8.050379175
PPARGC1B,-8.039824147
RP11-343H5.4,-8.039035255
CTD-2270F17.1,-8.031093733
COL4A3BP,-8.031093711
RAB30,-8.026491287
RBM24,-8.019967963
CTD-2555O16.4,-8.014383879
HSPA2,-8.013995796
LYVE1,-8.012447993
MTMR9,-8.007912863
FAIM2,-8.007406708
CDC42EP3,-8.004731414
DENND2A,-8.001874431
PRIMA1,-8.001091865
PURA,-8.000028753
RP11-554A11.4,-7.999682425
RP11-930O11.3,-7.999514871
SMOC2,-7.997393444
LINC00908,-7.992972906
DDX24,-7.984484214
TSHZ1,-7.983962129
C5orf66-AS1,-7.980681084
NOVA1,-7.979171828
ABCA9,-7.976869808
LPAR1,-7.975894694
FAM110D,-7.972956455
RP11-158I9.5,-7.969333156
ARHGEF26,-7.968208533
POLK,-7.965223336
TGFBR2,-7.962618926
PEAR1,-7.96156568
COL19A1,-7.959949347
C7,-7.957928956
MTERF4,-7.951256276
RNPC3,-7.94530217
GHR,-7.944395517
KIF13A,-7.942755573
CEBPB-AS1,-7.940905312
MGARP,-7.940222479
TRPC1,-7.939798597
HELQ,-7.931712551
CA5B,-7.9293878
ZNF300P1,-7.928161592
SGCD,-7.925152792
XPA,-7.922925968
AC108448.2,-7.922513911
LPIN1,-7.921456033
JUNB,-7.919911178
RFX2,-7.916708645
C4A-AS1,-7.915486679
C4B-AS1,-7.915486679
ABI2,-7.913441591
RP11-106M3.2,-7.91214375
SCN11A,-7.905034279
ABRA,-7.902248392
CTD-2036P10.6,-7.90151876
GATA5,-7.89893238
ADAMTS5,-7.895735508
CTD-2555O16.2,-7.889515873
MAP3K12,-7.886750411
RP11-475B2.1,-7.886096213
NEURL1B,-7.877208307
RGN,-7.875465664
SHANK3,-7.872245923
SOCS3,-7.871452271
CEP126,-7.871321835
CTD-2010I16.1,-7.87005153
OLFML1,-7.865625809
DGKG,-7.862492208
ATP5S,-7.858469825
TBL1X,-7.858373447
COL14A1,-7.856649798
PREX2,-7.855360893
MOB2,-7.854556281
TNRC6C,-7.844780196
LINC01573,-7.843483309
CKB,-7.843229586
RP11-404E16.1,-7.834969936
ABCB1,-7.831745796
PITX2,-7.831684736
AKT3,-7.830022216
PTGIS,-7.829641285
PHF21A,-7.828209948
MIR133A1HG,-7.827170568
TP73-AS1,-7.82610232
QRFP,-7.825880919
MTHFR,-7.817735335
BOC,-7.816557161
ODF3L1,-7.812315129
LRRC70,-7.80822539
FAM150B,-7.805887127
SAMD8,-7.803598515
PLIN4,-7.803530175
GRASP,-7.802189228
FLCN,-7.79802781
CCL14,-7.797899492
SAP30L,-7.797301998
DYSF,-7.790868675
RP11-1212A22.1,-7.790042674
MIDN,-7.789980785
LINC00670,-7.789489774
GJC2,-7.787546027
AC073130.3,-7.786849529
AHNAK,-7.786809936
KLF6,-7.785250186
CTC1,-7.780169054
CNGA3,-7.780097201
MORN5,-7.776058765
TMC2,-7.76819561
LINC00959,-7.761057229
CDC14B,-7.757205918
TMEM240,-7.75542114
RP11-498E2.9,-7.754956272
UFSP2,-7.754192371
ZNF516,-7.753377903
